candidate,meets_standard_rate,meets_standard_count,n_bills,mean_cost_usd,mean_latency_s,accurate,no_hallucinations,states_purpose,changes_to_existing_law,exceptions_conditions,effective_dates,major_provisions_covered,objective_tone,coherent,concise,correct_entities,correct_figures
openai/gpt-5.5,1.0000,50,50,0.030431299999999998,8.583840000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
anthropic/claude-opus-4.8,0.9600,48,50,0.04137970000000001,8.149059999999999,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0
google/gemini-3.5-flash,0.9600,48,50,0.022582660000000008,9.089039999999997,0.96,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9545454545454546
z-ai/glm-5.2,0.9600,48,50,0.0065501000000000005,19.77836,0.96,0.96,0.98,1.0,1.0,1.0,0.98,0.98,0.98,0.98,1.0,0.9761904761904762
deepseek/deepseek-v4-pro,0.9600,48,50,0.0022888799999999996,14.898179999999998,0.98,0.98,1.0,1.0,0.9629629629629629,0.975609756097561,0.98,1.0,0.98,1.0,1.0,0.9772727272727273
CRS (human),0.9800,49,50,,,1.0,1.0,0.98,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0
